ID	ORTHOGRAPHY	CELEX	TYPE	SOURCE_FORM	SOURCE_LANGUAGE	STRATUM	ATTESTED
463	Aspik	a s p iː k	1	aspic	frz	?	19. Jh.
464	Aspirant	a s p iː r a n t	1	aspirant	frz	?	18. Jh.
465	Assel	a s ə l	1	asello	it	2	16. Jh.
466	Assessor	a s ɛ s ɔ r	1	assessor	l	2	15. Jh.
467	Ast	a s t				1	8. Jh.
468	Aster	a s t ə r	1			2	18. Jh.
469	Asthma	a s t m aː	1	ásthma	gr	2	16. Jh.
470	Astrologie	a s t r oː l oː ɡ iː	1	astrologia	l	2	12. Jh.
471	Astronomie	a s t r oː n oː m iː	1	astronomia	l	2	12. Jh.
472	Atelier	a t eː l iːeː	1	atelier	frz	2	18. Jh.
473	Atem	aː t ə m				1	8. Jh.
474	Äther		1	aethEr	l	2	14. Jh.
475	Athlet	a t l eː t	1	AthlEta	l	1	16. Jh.
476	Atlas 2		1	atlas	frz	?	15. Jh.
477	Atoll	a t ɔ l	1	atoll	ne	?	19. Jh.
478	Atom	a t oː m	1	atomus	l	1	15. Jh., Form 19. Jh.
479	ätsch					1	17. Jh.
480	Attaché		1	attaché	frz	?	18. Jh.
481	Attacke	a t a k ə	1	attaque	frz	2	17. Jh.
482	Attentat	a t ə n t aː t	1	attentAtum	ml	2	15. Jh., Bedeutung 19. Jh.
483	Attest	a t ɛ s t	1	attestAtio	l	2	16. Jh., Form 18. Jh.
484	Ätti					?	16. Jh.
485	Attitüde		1	attitude	frz	2	18. Jh.
486	Attraktion	a t r a k t͡s iːoː n	1			2	16. Jh., Bedeutung 19. Jh.
487	Attrappe	a t r a p ə	1	attrape	frz	2	18. Jh.
488	Attribut	a t r iː b uː t	1	attribUtum	l	2	17. Jh., Form 18. Jh.
489	Atzel	a t͡s ə l				?	14. Jh.
490	atzen					2	11. Jh.
491	ätzen					2	9. Jh.
492	au	au				1	11. Jh.
493	Au					2	10. Jh.
494	Aubergine	oː b ɛ r ʒ iː n ə	1	aubergine	frz	?	20. Jh.
495	auch	au x				1	8. Jh.
496	Audienz	au d iːɛ n t͡s	1	audientia	l	2	15. Jh.
497	Auditorium	au d iː t oː r iːʊ m	1	audItOrium	l	2	15. Jh.
498	Auerhahn	auə r h aː n				2	10. Jh.
499	Auerochse	auə r ɔ k s ə				2	10. Jh.
500	auf	au f				1	8. Jh.
501	aufbegehren	au f b ə ɡ eː r ə n				1	16. Jh., Standard 19. Jh.
502	aufbrechen	au f b r ɛ x ə n				1	13. Jh.
503	aufdröseln					1	18. Jh.
504	Aufenthalt	au f ɛ n t h a l t				1	15. Jh.
505	auffallen	au ff a l ə n				1	18. Jh.
506	aufführen					1	13. Jh.
507	aufgabeln	au f ɡ aː b ə l n				1	17. Jh.
508	aufgeben	au f ɡ eː b ə n				1	13. Jh.
509	Aufgebot	au f ɡ ə b oː t				2	15. Jh.
510	aufgedonnert					1	19. Jh.
511	aufgedunsen	au f ɡ ə d ʊ n z ə n				1	14. Jh.
512	aufgekratzt	au f ɡ ə k r a t͡s t				1	16. Jh., Form und Bedeutung 18. Jh.
513	aufgelegt	au f ɡ ə l eː k t				1	18. Jh.
514	aufgeräumt					1	16. Jh., Bedeutung 17. Jh.
515	Aufhebens machen					1	16. Jh., Bedeutung 17. Jh.
516	aufhören					1	13. Jh.
517	aufkrempeln	au f k r ə m p ə l n				1	19. Jh.
518	Auflauf	au f l au f				1	13. Jh.
519	auflehnen	au f l eː n ə n				1	13. Jh.
520	aufmüpfig					2	20. Jh.
521	äufnen					?	16. Jh.
522	Aufruhr	au f r uː r				1	14. Jh., Standard 15. Jh.
523	aufsässig					1	16. Jh.
524	aufschneiden	au f ʃ n ai d ə n				1	16. Jh., Bedeutung 17. Jh.
525	aufschwemmen	au f ʃ v ɛ m ə n				1	16. Jh.
526	Auftrag	au f t r aː k				1	17. Jh.
527	aufwarten	au f v a r t ə n				2	15. Jh.
528	aufwiegeln	au f v iː ɡ ə l n				1	15. Jh.
529	aufziehen	au f t͡s iːə n				1	11. Jh.
530	Auge	au ɡ ə				1	8. Jh.
531	Augentrost	au ɡ ə n t r oː s t				?	15. Jh.
532	August	au ɡ ʊ s t	1	(mEnsis)	l	1	8. Jh.
533	Auktion	au k t͡s iːoː n	1	auctio	l	2	16. Jh.
534	Aula	au l aː	1	aula	l	?	16. Jh.
535	Aura		1	aura	l	?	16. Jh., Bedeutung 19. Jh.
536	aus	au s				1	8. Jh.
537	ausbaden	au s b aː d ə n				1	15. Jh., Bedeutung 17. Jh.
538	ausbeuten	au s b ɔy t ə n				1	16. Jh.
539	Ausbund	au s b ʊ n t				1	15. Jh.
540	ausfällig					1	19. Jh.
541	Ausflucht	au s f l uː x t				1	15. Jh.
542	Ausflug	au s f l uː k				1	13. Jh.
543	ausführen					1	10. Jh.
544	ausgefallen	au s ɡ ə f a l ə n				1	20. Jh.
545	ausgefuchst	au s ɡ ə f ʊ k s t				1	19. Jh.
546	ausgelassen	au s ɡ ə l a s ə n				1	16. Jh.
547	ausgemergelt					1	15. Jh.
548	auskneifen	au s k n ai f ə n				1	19. Jh.
549	Auskunft	au s k ʊ n f t				1	15. Jh., Bedeutung 18. Jh.
550	ausladend	au s l aː d ə n t				1	18. Jh.
551	auslaugen	au s l au ɡ ə n				1	17. Jh.
552	ausmarchen	au s m a r x ə n				?	15. Jh., Ableitung schon früher
553	Auspizien		1	auspicium	l	2	17. Jh.
554	ausrotten	au s r ɔ t ə n				1	15. Jh.
555	Aussatz	au s z a t͡s				2	13. Jh.
556	ausschlagen	au s ʃ l aː ɡ ə n				1	9. Jh.
557	Ausschuß					2	15. Jh.
558	außen					1	8. Jh.
559	Außenseiter					1	20. Jh.
560	außer					1	8. Jh.
561	äußern					1	11. Jh., Form 14. Jh.
562	Ausstand	au s ʃ t a n t				1	15. Jh., Bedeutung 19. Jh.
563	ausstatten	au s ʃ t a t ə n				1	16. Jh.
564	ausstechen	au s ʃ t ɛ x ə n				1	17. Jh.
565	ausstehen	au s ʃ t eːə n				1	14. Jh.
566	Aussteuer	au s ʃ t ɔyə r				1	16. Jh.
567	Auster	au s t ə r	1			2	8. Jh., Standard 16. Jh.
568	austreten	au s t r eː t ə n				1	15. Jh., Bedeutung 19. Jh.
569	ausweiden	au s v ai d ə n				2	16. Jh.
570	auswendig	au s v ɛ n d ɪ x				1	13. Jh., Bedeutung 16. Jh.
571	Autarkie		1	autárkeia	gr	?	19. Jh.
572	authentisch	au t ɛ n t ɪ ʃ	1	authenticus	l	2	16. Jh.
573	Autodafé		1	auto	port	?	18. Jh.
574	Autodidakt	au t oː d iː d a k t	1	autodidaktós	gr	2	16. Jh., Form 18. Jh.
575	autogen	au t oː ɡ eː n	1	autogenes	gr	?	19. Jh.
576	Automat	au t oː m aː t	1	automatus	l	2	16. Jh.
577	Autonomie	au t oː n oː m iː	1	autonomía	gr	2	18. Jh.
578	Autor	au t oː r	1	auctor	l	2	15. Jh.
579	Autorität		1	au(c)tOritAs	l	2	14. Jh.
580	Avantgarde	a v ɑ̃ː ɡ a r d ə	1	avantgarde	frz	2	16. Jh.
581	Aversion	a v ɛ r z iːoː n	1	aversion	frz	2	17. Jh.
582	Avocado		1			?	20. Jh.
583	Axiom	a k s iːoː m	1			2	16. Jh., Form 18. Jh.
584	azur		1	azur	frz	2	17. Jh.
585	Baas	b aː s	1	baas	nndl	?	19. Jh.
586	Babuschen		1	babouche	frz	?	18. Jh.
587	Baby	b eː b iː	1	baby	ne	1	19. Jh.
588	Bach	b a x				1	8. Jh.
589	Bache	b a x ə				2	16. Jh.
590	Bachstelze					2	15. Jh.
591	Backbord	b a k b ɔ r t				?	17. Jh.
592	Backe 1					1	12. Jh.
593	Backe 2					1	15. Jh.
594	backen	b a k ə n				1	9. Jh., brOtbeckila «Brotbäckerin» 8. Jh.
595	Backfisch	b a k f ɪ ʃ				2	16. Jh.
596	Backpfeife	b a k p f ai f ə				2	19. Jh.
597	Backstein	b a k ʃ t ai n				1	17. Jh.
598	Bad	b aː t				1	8. Jh.
599	Bader	b aː d ə r				?	14. Jh.
600	Badminton	b ɛ t m ɪ n t ə n	1	badminton	ne	?	20. Jh.
601	baff					1	17. Jh.
602	Bagage	b a ɡ aː ʒ ə	1	bagage	frz	1	16. Jh.
603	Bagatelle	b a ɡ a t ɛ l ə	1	bagatelle	frz	2	17. Jh.
604	baggern	b a ɡ ə r n	1	baggeren	nndl	1	18. Jh.
605	Baguette		1	baguette	frz	?	20. Jh.
606	bähen					?	8. Jh.
607	Bahn	b aː n				1	12. Jh.
608	Bahnhof	b aː n h oː f				1	19. Jh.
609	Bahnsteig	b aː n ʃ t ai k				1	19. Jh.
610	Bahre	b aː r ə				1	8. Jh.
611	Bai		1	baai	nndl	?	15. Jh., Standard 17. Jh.
612	Baisse	b ɛː s ə	1	baisse	frz	?	19. Jh.
613	Bajadere		1	bayadère	frz	?	18. Jh.
614	Bajazzo	b a j a t͡s oː	1	pajazzo	obit	?	18. Jh.
615	Bajonett	b a j oː n ɛ t	1	baIonnette	frz	?	18. Jh.
616	Bake	b aː k ə				?	17. Jh.
617	Bakel		1	baculum	l	?	17. Jh.
618	Bakschisch	b a k ʃ ɪ ʃ	1	baHsIs	pers	?	17. Jh.
619	Bakterie	b a k t eː r iːə	1			2	19. Jh.
620	Balalaika	b a l a l ai k aː	1	balalájka.	russ	?	18. Jh.
621	Balance	b a l ɑ̃ː s ə	1	balance	frz	2	17. Jh.
622	balbieren	b a l b iː r ə n	1			?	16. Jh.
623	bald	b a l t				1	9. Jh., baldlihho und beldi 8. Jh.
624	Baldachin		1			?	14. Jh.
625	baldowern	b a l d oː v ə r n	1			?	19. Jh.
626	Baldrian	b a l d r iːaː n	1			2	15. Jh.
627	balgen					1	15. Jh.
628	Balken	b a l k ə n				1	9. Jh.
629	Balkon	b a l k ɔ ŋ	1	balcon	frz	1	17. Jh.
630	Ball 1					1	9. Jh., ein unsicherer Beleg schon 8. Jh.
631	Ball 2		1	bal	frz	1	17. Jh.
632	Ballade	b a l aː d ə	1			2	16. Jh., Bedeutung 18. Jh.
633	Ballast	b a l a s t	1	ballast	mndl	2	14. Jh., Standard 17. Jh.
634	Ballen					1	11. Jh., Form 15. Jh.
635	Ballerina	b a l ə r iː n aː	1	ballerina	it	?	17. Jh.
636	ballern					1	17. Jh.
637	Ballett	b a l ɛ t	1	balletto	it	2	17. Jh.
638	Ballon	b a l ɔ ŋ	1	ballon	frz	1	16. Jh.
639	Balsam	b a ʫ aː m	1	balsamum	l	2	11. Jh.
640	Balustrade		1	balustrade	frz	?	18. Jh.
641	Bambule		1			?	20. Jh.
642	Bambus	b a m b ʊ s	1	bamboe	nndl	?	17. Jh.
643	Bammel					1	19. Jh.
644	banal		1	banal	frz	2	18. Jh.
645	Banane	b a n aː n ə	1	banana	port	1	16. Jh.
646	Banause		1			?	18. Jh.
647	Band 1					1	17. Jh.
648	Bandage	b a n d aː ʒ ə	1	bandage	frz	2	18. Jh.
649	Bande 1		1	bande	frz	1	15. Jh.
650	Bande 2		1	bande	frz	?	18. Jh.
651	Banderole		1	banderole	frz	?	17. Jh.
652	bändigen					1	16. Jh.
653	Bandit	b a n d iː t	1	bandito	it	2	16. Jh.
654	Bandscheibe					2	20. Jh.
655	bang(e)					1	13. Jh.
656	Bangbüx(e)					?	19. Jh.
657	Bangert					?	11. Jh., Form 16. Jh.
658	Banjo	b a n j oː	1	banjo	ne	?	20. Jh.
659	Bank 1					1	9. Jh.
660	Bank 2		1	banco	it	1	13. Jh.
661	Bänkelsänger					2	18. Jh.
662	Bankert					?	15. Jh.
663	Bankett 1		1	banchetto	it	2	15. Jh.
664	Bankett 2		1	banquette	frz	?	19. Jh.
665	Bankrott		1	banca	it	1	15. Jh.
666	Bann	b a n				1	9. Jh., latinisiert seit dem 7. Jh.
667	Banner	b a n ə r	1			2	12. Jh.
668	Banse	b a n z ə				?	17. Jh.
669	bar	b aː r				1	10. Jh.
670	Bar	b aː r	1	bar	ne	1	19. Jh.
671	-bar					1	-
672	Bär 1					1	8. Jh.
673	Bär 2					?	11. Jh.
674	Baraber		1			?	20. Jh.
675	Baracke	b a r a k ə	1	baraque	frz	1	17. Jh.
676	Barbar	b a r b aː r	1	barbarus	l	1	13. Jh.
677	Barbe		1	barbus	l	?	12. Jh.
678	Barbecue		1	barbecue	ne	?	20. Jh.
679	bärbeißig					2	18. Jh.
680	Barbier	b a r b iː r	1			?	14. Jh., Form 15. Jh.
681	Barchent		1			?	12. Jh.
682	Barde	b a r d ə	1	barde	frz	?	16. Jh.
683	Bardiet		1			?	17. Jh., Form 18. Jh.
684	Bärendienst					2	19. Jh.
685	Bärendreck					2	19. Jh.
686	Bärenhäuter					?	17. Jh.
687	Barett	b a r ɛ t	1	baretta	it	2	14. Jh.
688	Barg					?	10. Jh.
689	Bariton	b aː r iː t ɔ n	1	baritono	it	2	17. Jh., Form 18. Jh.
690	Barkarole		1	barcarola	it	?	18. Jh.
691	Barkasse	b aː r k a s ə	1	barcasse	frz	?	18. Jh.
692	Barke	b a r k ə	1			?	12. Jh.
693	Bärlapp					?	16. Jh.
694	Bärme					?	17. Jh.
695	barmherzig	b a r m h ɛ r t͡s ɪ x				1	8. Jh.,
696	Barn					?	8. Jh.
697	barock	b a r ɔ k	1	baroque	frz	2	18. Jh.
698	Baron	b a r oː n	1			2	12. Jh.
699	Barras		1			2	19. Jh., Bedeutung 20. Jh.
700	Barre	b a r ə	1	barre	afrz	?	13. Jh.
701	Barrel	b ɛ r ə l	1	barrel	ne	?	19. Jh.
702	Barren	b a r ə n	1			2	18. Jh.
703	Barriere	b a r iːeː r ə	1	barrière	frz	2	16. Jh.
704	Barrikade	b a r iː k aː d ə	1	barricade	frz	1	17. Jh.
705	barsch	b a r ʃ				1	16. Jh.
706	Barsch	b aː r ʃ				1	11. Jh.
707	Bart	b aː r t				1	8. Jh.
708	Barte 1					?	11. Jh.
709	Barte 2					?	18. Jh.
710	Basalt	b a z a l t	1	basaltEs	l	?	18. Jh.
711	Basar	b a z aː r	1	bazar	frz	1	16. Jh.
712	Base 1					2	9. Jh.
713	Base 2		1			?	19. Jh.
714	Basilika	b a z iː l iː k aː	1	basilica	spl	?	15. Jh.
715	Basilikum		1			?	14. Jh., Form 20. Jh.
716	Basilisk		1			?	14. Jh.
717	Basis	b aː z ɪ s	1	basis	l	2	15. Jh.
718	baß					?	9. Jh.
719	Baß		1	basso	it	2	15. Jh.
720	Bassin	b a s ɶ̃ː	1	bassin	frz	1	17. Jh.
721	Bast	b a s t				2	11. Jh.
722	basta	b a s t aː	1	basta	it	2	17. Jh.
723	Bastard	b a s t a r t	1	bastard	afrz	2	13. Jh.
724	basteln	b a s t ə l n				1	15. Jh.
725	Bastion	b a s t iːoː n	1	bastion	frz	2	16. Jh.
726	Bastonade	b a s t oː n aː d ə	1			?	19. Jh.
727	Bataillon	b a t a l j oː n	1	bataillon	frz	2	16. Jh.
728	Batate		1	patata	span	?	16. Jh.
729	Batenke		1	(stachys)	l	?	16. Jh.
730	Batik	b aː t ɪ k	1			?	19. Jh.
731	Batist	b a t ɪ s t	1	batiste	frz	?	18. Jh.
732	Batterie	b a t ə r iː	1	batterie	frz	1	16. Jh.
733	Batzen	b a t͡s ə n				2	16. Jh.
734	Bauch	b au x				1	11. Jh., uuasbucho «ein gefundener verstümmelter Rumpf» 8. Jh.
735	bauchpinseln					1	20. Jh.
736	Baude					?	15. Jh.
737	bauen	b auə n				1	8. Jh.
738	Bauer 1					2	8. Jh.
739	Bauer 2					1	9. Jh.
740	Bauernfänger					1	19. Jh.
741	baufällig					1	14. Jh.
742	baumeln	b au m ə l n				1	17. Jh.
743	bäumen					?	15. Jh.
744	Baumwolle	b au m v ɔ l ə				1	12. Jh.
745	Bausch	b au ʃ				?	11. Jh.
746	Bäuschel					?	19. Jh.
747	Bautastein		1			?	20. Jh.
748	Bauten					1	18. Jh.
749	baxen					?	18. Jh.
750	Bazille	b a t͡s ɪ l ə	1			2	19. Jh.
751	be-					1	
752	beanstanden	b əa n ʃ t a n d ə n				1	19. Jh.
753	beben	b eː b ə n				1	8. Jh.
754	Becher	b ɛ x ə r	1	bicarium	ml	1	11. Jh.
755	Beck					?	12. Jh.
756	Becken	b ɛ k ə n	1	bac(c)in(i)um	ml	1	10. Jh.
757	bedenken	b ə d ɛ ŋ k ə n				1	8. Jh.
758	bedeppert	b ə d ɛ p ə r t				1	19. Jh.
759	bedingen 1					1	13. Jh.
760	bedingen 2					1	13. Jh., Form 17. Jh.
761	bedürfen					1	8. Jh.
762	beeinträchtigen					1	17. Jh.
763	Beere	b eː r ə				1	8. Jh., Form 16. Jh.
764	Beet	b eː t				1	10. Jh.
765	befangen	b ə f a ŋ ə n				1	8. Jh.,
766	befehlen	b ə f eː l ə n				1	8. Jh.
767	Beffchen		1			?	18. Jh.
768	befinden	b ə f ɪ n d ə n				1	8. Jh.
769	beflissen	b ə f l ɪ s ə n				2	17. Jh.
770	befördern					1	18. Jh.
771	befriedigen	b ə f r iː d ɪ ɡ ə n				1	12. Jh., Form 15. Jh.
772	befugt	b ə f uː k t				1	16. Jh.
773	befürworten					1	19. Jh.
774	begabt	b ə ɡ aː p t				1	13. Jh.
775	begatten	b ə ɡ a t ə n				2	17. Jh.
776	begeben	b ə ɡ eː b ə n				1	10. Jh.
777	begehen	b ə ɡ eːə n				1	8. Jh.
778	begehren	b ə ɡ eː r ə n				1	13. Jh.
779	Begeisterung	b ə ɡ ai s t ə r ʊ ŋ				1	17. Jh.
780	beginnen	b ə ɡ ɪ n ə n				1	8. Jh.
781	beglaubigen	b ə ɡ l au b ɪ ɡ ə n				1	14. Jh., Form 16. Jh.
782	begleiten	b ə ɡ l ai t ə n				1	14. Jh.
783	begnügen					1	14. Jh.
784	begöschen					?	20. Jh.
785	begreifen	b ə ɡ r ai f ə n				1	8. Jh.
786	begriffsstutzig					1	19. Jh.
787	behäbig					1	19. Jh.
788	behaftet					1	15. Jh.
789	behagen	b ə h aː ɡ ə n				1	13. Jh.
790	behaupten	b ə h au p t ə n				1	14. Jh.
791	beheben	b ə h eː b ə n				1	12. Jh., Bedeutung 20. Jh.
792	behelligen	b ə h ɛ l ɪ ɡ ə n				1	16. Jh.
793	behende	b ə h ɛ n d ə				2	12. Jh.
794	Behörde					1	17. Jh.
795	Behuf					2	13. Jh.
796	behum(p)sen					?	20. Jh.
797	bei	b ai				1	8. Jh.
798	Beicht(e)					2	8. Jh.
799	beide	b ai d ə				1	8. Jh.
800	Beiderwand					?	15. Jh.
801	beiern		1			?	16. Jh., Standard 18. Jh.
802	Beifall	b ai f a l				1	15. Jh.
803	beige	b ɛː ɡ ə	1	beige	frz	2	19. Jh.
804	Beige	b eː ʃ				?	9. Jh.
805	Beil	b ai l				1	9. Jh., witubil 8. Jh.
806	beiläufig					1	16. Jh.
807	beilegen	b ai l eː ɡ ə n				1	8. Jh.
808	beileibe	b ai l ai b ə				2	16. Jh.
809	Bein	b ai n				1	8. Jh.
810	beinahe					1	16. Jh.
811	Beinwell					?	12. Jh.
812	Beisasse					?	14. Jh.
813	Beisel		1			?	20. Jh.
814	Beispiel	b ai ʃ p iː l				1	12. Jh., Form 15. Jh.
815	beißen					1	8. Jh.
816	Beitel					?	18. Jh.
817	Beiz(e)		1			2	15. Jh., Standard 20. Jh.
818	beizen	b ai t͡s ə n				1	10. Jh.
819	bekannt	b ə k a n t				1	13. Jh.
820	bekehren	b ə k eː r ə n				1	8. Jh.
821	bekennen	b ə k ɛ n ə n				1	8. Jh.
822	beklommen	b ə k l ɔ m ə n				1	15. Jh., Form 18. Jh.
823	bekloppt	b ə k l ɔ p t				1	20. Jh.
824	bekommen	b ə k ɔ m ə n				1	8. Jh.
825	belangen	b ə l a ŋ ə n				1	11. Jh.
826	Belche					?	11. Jh.
827	belegen	b ə l eː ɡ ə n				1	8. Jh.
828	Belegschaft	b ə l eː k ʃ a f t				1	19. Jh.
829	beleidigen	b ə l ai d ɪ ɡ ə n				1	14. Jh.
830	belemmern	b ə l ɛ m ə r n				?	17. Jh.
831	belfern					2	16. Jh.
832	belieben	b ə l iː b ə n				2	15. Jh.
833	Belladonna		1	belladonna	it	?	19. Jh.
834	bellen	b ɛ l ə n				1	8. Jh.
835	Belletrist		1			?	18. Jh.
836	Bembel					?	19. Jh.
837	Bemme		1			?	16. Jh.
838	bemoost	b ə m oː s t				2	17. Jh.
839	benauen					?	17. Jh.
840	Bendel					1	11. Jh.
841	benedeien	b eː n eː d aiə n	1	benedire	it	2	12. Jh.
842	Benefiz		1			?	18. Jh.
843	benehmen	b ə n eː m ə n				1	8. Jh.
844	Bengel	b ɛ ŋ ə l				1	13. Jh., Bedeutung 16. Jh.
845	Benne		1	benna	gall	?	16. Jh.
846	benommen	b ə n ɔ m ə n				1	19. Jh.
847	beobachten	b əoː b a x t ə n				1	17. Jh.
848	bequem	b ə k v eː m				1	9. Jh.
849	berappen	b ə r a p ə n				2	19. Jh.
850	Berberitze		1	berberis	ml	?	18. Jh.
851	Bereich	b ə r ai x				1	18. Jh.
852	bereit	b ə r ai t				1	12. Jh.
853	bereiten	b ə r ai t ə n				1	12. Jh.
854	Berg	b ɛ r k				1	8. Jh.
855	Berg-					1	14. Jh.
856	Bergamotte	b ɛ r ɡ a m ɔ t ə	1	bergamote;	frz	?	18. Jh.
857	bergen	b ɛ r ɡ ə n				1	8. Jh.
858	Beriberi	b eː r iː b eː r iː	1			?	16. Jh.
859	berichten	b ə r ɪ x t ə n				1	11. Jh.
860	Berliner 1		1			?	19. Jh.
861	Berlocke		1	breloque	frz	?	18. Jh.
862	Bernstein					1	13. Jh., Standard 18. Jh.
863	Berserker	b ɛ r z ɛ r k ə r	1	berserkr	anord	?	18. Jh.
864	bersten	b ɛ r s t ə n				1	9. Jh., int-, ir- 8. Jh.
865	Bertram		1			?	11. Jh.
866	berüchtigt					1	16. Jh.
867	berücken					2	16. Jh.
868	Beruf	b ə r uː f				1	17. Jh.
869	Beryll	b eː r ʏ l	1	bEryllus	l	?	12. Jh.
870	beschaffen	b ə ʃ a f ə n				1	15. Jh.
871	beschäftigen					1	17. Jh.
872	beschälen					?	16. Jh.
873	bescheiden	b ə ʃ ai d ə n				2	12. Jh.
874	bescheißen					1	11. Jh., Bedeutung 14. Jh.
875	bescheren	b ə ʃ eː r ə n				1	17. Jh.
876	bescheuert	b ə ʃ ɔyə r t				1	20. Jh.
877	beschickern		1			?	19. Jh.
878	Beschlag	b ə ʃ l aː k				1	15. Jh., Verb 8. Jh.
879	beschließen					1	8. Jh.
880	beschränkt					1	9. Jh., Bedeutung 18. Jh.
881	beschummeln	b ə ʃ ʊ m ə l n				1	18. Jh.
882	beschuppen	b ə ʃ ʊ p ə n	1			?	18. Jh.
883	beschweren	b ə ʃ v eː r ə n				1	8. Jh.,
884	beschwichtigen	b ə ʃ v ɪ x t ɪ ɡ ə n				1	17. Jh.
885	besebeln		1			?	16. Jh., Bedeutung 19. Jh.
886	beseitigen	b ə z ai t ɪ ɡ ə n				1	19. Jh.
887	Besemer		1			?	13. Jh., Standard 18. Jh.
888	Besen	b eː z ə n				1	8. Jh.
889	besessen	b ə z ɛ s ə n				1	9. Jh., Bedeutung 14. Jh.
890	besitzen	b ə z ɪ t͡s ə n				1	8. Jh.
891	besonders	b ə z ɔ n d ə r s				1	15. Jh.
892	besorgen	b ə z ɔ r ɡ ə n				1	9. Jh.
893	besser	b ɛ s ə r				1	8. Jh.
894	Bestallung	b ə ʃ t a l ʊ ŋ				2	15. Jh.
895	bestätigen					1	13. Jh.
896	bestatten	b ə ʃ t a t ə n				1	11. Jh., Bedeutung 12. Jh.
897	bestechen	b ə ʃ t ɛ x ə n				1	15. Jh.
898	Besteck	b ə ʃ t ɛ k				1	16. Jh.
899	bestellen	b ə ʃ t ɛ l ə n				1	9. Jh.
900	Bestie	b ɛ s t iːə	1	bEstia	l	1	14. Jh., Form 15. Jh.
901	bestimmen	b ə ʃ t ɪ m ə n				1	15. Jh.
902	bestricken	b ə ʃ t r ɪ k ə n				1	8. Jh.
903	Bestseller	b ɛ s t z ɛ l ə r	1	bestseller	ne	2	20. Jh.
904	bestürzen					1	9. Jh., Bedeutung 13. Jh.
905	besuchen	b ə z uː x ə n				1	11. Jh., Bedeutung 17. Jh.
906	Bete		1			2	17. Jh.
907	beten	b eː t ə n				1	8. Jh.
908	beteuern	b ə t ɔyə r n				1	15. Jh., Form 17. Jh.
909	Beton	b ə t ɔ n	1	béton	frz	1	18. Jh.
910	betören					1	12. Jh., Bedeutung 16. Jh.
911	betragen	b ə t r aː ɡ ə n				1	12. Jh.
912	betreten	b ə t r eː t ə n				1	16. Jh.
913	Betrieb	b ə t r iː p				1	16. Jh., Bedeutung 19. Jh.
914	Bettel					2	17. Jh.
915	betteln	b ɛ t ə l n				1	9. Jh.
916	Betthupferl					2	19. Jh.
917	betucht	b ə t uː x t	1			2	17. Jh.
918	betulich	b ə t uː l ɪ x				1	18. Jh.
919	beugen	b ɔy ɡ ə n				1	11. Jh.
920	Beule	b ɔy l ə				1	9. Jh., bulislac 8. Jh.
921	Beunde					?	8. Jh.
922	Beuschel					?	16. Jh., Bedeutung 19. Jh.
923	Beute 1		1			1	14. Jh.
924	Beute 2					?	8. Jh.
925	Beutel	b ɔy t ə l				1	8. Jh.
926	Beutheie					?	18. Jh.
927	bevor	b ə f oː r				1	8. Jh.
928	bewähren					1	12. Jh.
929	bewältigen					1	14. Jh.
930	bewandert	b ə v a n d ə r t				1	16. Jh.
931	bewegen 1					1	8. Jh.
932	bewegen 2					1	12. Jh.
933	beweisen	b ə v ai z ə n				1	13. Jh., Form 15. Jh.
934	bewenden	b ə v ɛ n d ə n				2	9. Jh.
935	bewerkstelligen	b ə v ɛ r k ʃ t ɛ l ɪ ɡ ə n				1	17. Jh.
936	bewußt					1	15. Jh.
937	bezichtigen	b ə t͡s ɪ x t ɪ ɡ ə n				1	16. Jh.
938	beziehen	b ə t͡s iːə n				1	8. Jh.
939	bi-		1			2	-
940	bibbern	b ɪ b ə r n				1	18. Jh.
941	Bibel	b iː b ə l	1	biblia	kirchen-l	1	13. Jh.
942	Biber	b iː b ə r				1	10. Jh., bibarhunt 8. Jh.
943	Bibergeil					?	14. Jh.
944	Bibliographie	b iː b l iːoː ɡ r a f iː	1			?	18. Jh.
945	Bibliothek	b iː b l iːoː t eː k	1			2	16. Jh.
946	Bickbeere					?	16. Jh., Standard 20. Jh.
947	Bidet	b iː d eː	1			?	20. Jh.
948	bieder	b iː d ə r				1	8. Jh., Standard 19. Jh.
949	biegen	b iː ɡ ə n				1	8. Jh.
950	Bienenstich					1	20. Jh.
951	Bier	b iː r				1	9. Jh.
952	Biese	b iː z ə	1			?	19. Jh.
953	Biest 1					?	9. Jh.
954	Biest 2		1			1	16. Jh.
955	bieten	b iː t ə n				1	8. Jh.
956	Bieten					?	16. Jh.
957	Bigamie	b iː ɡ a m iː	1			?	15. Jh.
958	bigott	b iː ɡ ɔ t	1			?	18. Jh.
959	Bijouterie		1	bijouterie.	frz	?	18. Jh.
960	Bilanz	b iː l a n t͡s	1			2	15. Jh.
961	Bilch		1	pilch	poln	?	11. Jh.
962	Bild	b ɪ l t				1	8. Jh.
963	bilden	b ɪ l d ə n				1	9. Jh.
964	Bilge	b ɪ l ɡ ə	1	bilge	ne	?	19. Jh.
965	Billard	b ɪ l j a r t	1	billard	frz	2	16. Jh.
966	Bille					?	17. Jh.
967	Biller					?	9. Jh.
968	Billett	b ɪ l j ɛ t	1			2	16. Jh.
969	billig	b ɪ l ɪ x				1	11. Jh.
970	Bilwis					?	12. Jh.
971	bimmeln	b ɪ m ə l n				1	17. Jh.
972	bimsen	b ɪ m z ə n				?	15. Jh.
